Program ID,FFP Name
186,Sky Pearl Club (China Southern) / SkyTeam,y
187,ANA Mileage Club,y
188,American Airlines AAdvantage [AA only],y
189,American Airlines AAdvantage [oneworld / Partners],y
190,Qantas Classic Awards [QFF],y
191,Qantas Partners Classic Awards [QFF],y
192,"Qantas Classic Awards / oneworld [QFF] 	",y
193,GarudaMiles,y
194,GarudaMiles [Jet Airways Partnership],y
195,OK Plus (Czech Airlines) / SkyTeam,y
196,OK Plus (Czech Airlines) / ÄŒSA only,y
197,Etihad Guest [Czech Airlines Partnership],y
198,Etihad Guest [Air Seychelles Partnership],y
199,Etihad Guest [Air Serbia Partnership],y
200,Etihad Guest [Brussels Airlines Partnership],y
201,Etihad Guest [Bangkok Airways Partnership],y
202,Etihad Guest [Oman Air Partnership],y
203,Etihad Guest [UIA Partnership],y
204,Etihad Guest [Royal Air Maroc Partnership],y
205,Etihad Guest [Virgin Australia Partnership],y
206,Etihad Guest [GOL Partnership],y
207,Etihad Guest [Etihad Regional Partnership],y
208,Etihad Guest [Alitalia Partnership],y
209,Etihad Guest [SriLankan Airlines Partnership],y
210,Etihad Guest [Jet Airways Partnership -- International],y
211,Etihad Guest [Jet Airways Partnership -- Domestic],y
212,Etihad Guest [Malaysia Airlines Partnership],y
213,Etihad Guest [Hainan Airlines Partnership],y
214,Etihad Guest [airberlin Partnership],y
215,Etihad Guest [Air New Zealand Partnership],y
216,Etihad Guest [South African Airways Partnership],y
217,Etihad Guest [Garuda Indonesia Partnership],y
218,Etihad Guest [ANA Partnership],y
219,Etihad Guest [Philippine Airlines Partnership],y
220,Etihad Guest [Korean Air Partnership],y
221,Etihad Guest [Asiana Airlines Partnership],y
222,Etihad Guest [American Airlines Partnership],y
223,MilleMiglia Alitalia,y
224,Alaska Airlines Mileage Plan,y
225,Aer Lingus AerClub,y
226,Eurowings Boomerang Club,y
227,Emirates Skywards [GOL Partnership],y
228,Etihad Guest,y
229,LATAM Pass,y
230,Korean Air Skypass [Etihad Partnership],y
231,Korean Air Skypass [Jet Airways Partnership],y
232,Korean Air Skypass [GOL Partnership],y
233,JAL Mileage Bank / oneworld,y
234,LATAM Fidelidade Multiplus,y
236,Meridiana Club,y
237,Flying Returns (Air India) / Star Alliance,y
238,Alaska Airlines Mileage Plan [Condor Partnership],y
239,Alaska Airlines Mileage Plan [Hainan Partnership] ,y
240,Alaska Airlines Mileage Plan [Finnair Partnership] ,y
241,Alaska Airlines Mileage Plan [JAL Partnership] ,y
242,British Airways Executive Club [oneworld and partner Airlines],y
243,"British Airways Executive Club [British, Iberia, AerLingus, Vueling]",y
244,Frontier Miles,y
